sample_id,ethnic_group,lifestyle_food,country,reference,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,ala_L,0.10696767134444557,L-alanine,HMDB00161,C00041,5950.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,EX_ala_L_m,EX_ala_L(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,arg_L,0.9424059243055583,L-argininium(1+),HMDB00517,C00062,6322.0,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",,EX_arg_L_m,EX_arg_L(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,asn_L,1.666412200293106,L-asparagine,HMDB00168,C00152,6267.0,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",,EX_asn_L_m,EX_asn_L(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,asp_L,0.7908680006050526,L-aspartate(1-),HMDB00191,C00049,5960.0,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",,EX_asp_L_m,EX_asp_L(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,ca2,0.6776344749023289,calcium(2+),HMDB00464,C00076,,InChI=1S/Ca/q+2,,EX_ca2_m,EX_ca2(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,cit,0.13941982043368198,Citrate,HMDB00094,C00158,311.0,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,EX_cit_m,EX_cit(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,cl,0.0005006,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,cobalt2,0.0005006,Co2+,,,,,,EX_cobalt2_m,EX_cobalt2(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,cu2,0.0045969615423641,Cu2+,,,,,,EX_cu2_m,EX_cu2(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,cys_L,0.027724109982747075,L-cysteine,HMDB00574,C00097,5862.0,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",,EX_cys_L_m,EX_cys_L(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,dpcoa,0.000396984999999975,Dephospho-CoA,HMDB01373,C00882,444485.0,,,EX_dpcoa_m,EX_dpcoa(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,fe2,0.047946983119571324,Fe2+,HMDB00692,C14818,27284.0,InChI=1S/Fe/q+2,,EX_fe2_m,EX_fe2(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,fe3,0.03196370147203605,Fe3+,HMDB12943,C14819,29936.0,InChI=1S/Fe/q+3,,EX_fe3_m,EX_fe3(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,fru,1.6850068552627218,D-Fructose,HMDB00660,C02336,439709.0,,,EX_fru_m,EX_fru(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,glu_L,0.568764707033889,L-glutamate(1-),HMDB00148,C00025,33032.0,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",,EX_glu_L_m,EX_glu_L(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,glutar,0.0767381435023905,Glutarate,HMDB00661,C00489,3772.0,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",,EX_glutar_m,EX_glutar(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,gly,0.10485848617205877,Glycine,HMDB00123,C00037,750.0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,EX_gly_m,EX_gly(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,glyb,0.000214491237338,glycine betaine,HMDB00043,C00719,247.0,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",,EX_glyb_m,EX_glyb(e)
hadza1,Hadza,Hunter-gatherer,Tanzania,https://doi.org/10.1126/science.aan4834,h2o,726.7779242022883,Water,HMDB02111,C00001,962.0,InChI=1S/H2O/h1H2,,EX_h2o_m,EX_h2o(e)
