# Constructed from biom file
#OTU ID	chepang1	chepang2	chepang3	hadza1	hadza2	hadza3	mephaa1	mephaa2	mephaa3
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	3697.0	2888.0	5779.0	188.0	4246.0	831.0	3163.0	8479.0	8290.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium	51.0	107.0	296.0	300.0	3186.0	1381.0	2234.0	1275.0	1244.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio	2464.0	1858.0	0.0	3.0	36.0	52.0	6.0	323.0	368.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Sarcina	0.0	0.0	0.0	837.0	102.0	5182.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia	0.0	0.0	41.0	1510.0	4096.0	2621.0	218.0	92.0	81.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter	27.0	17.0	14.0	2487.0	178.0	129.0	180.0	41.0	31.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellamassilia	310.0	278.0	0.0	9.0	70.0	100.0	6.0	1253.0	1313.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__[Clostridium]	0.0	21.0	0.0	2479.0	37.0	11.0	249.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Ruminobacter	0.0	2394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	568.0	90.0	10.0	707.0	62.0	285.0	700.0	33.0	27.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;__;__	102.0	265.0	266.0	2755.0	3486.0	4159.0	1660.0	35.0	48.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.0	0.0	92.0	2528.0	232.0	692.0	134.0	36.0	37.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;__	85.0	183.0	38.0	341.0	743.0	1031.0	525.0	810.0	777.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Eisenbergiella	0.0	0.0	0.0	0.0	0.0	1628.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	3.0	10.0	0.0	1379.0	0.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales;g__Gemmiger	21.0	13.0	0.0	888.0	76.0	95.0	232.0	34.0	44.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister	16.0	51.0	76.0	0.0	0.0	0.0	456.0	304.0	349.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia	75.0	95.0	353.0	43.0	270.0	2107.0	47.0	222.0	203.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium	161.0	0.0	21.0	37.0	632.0	25.0	236.0	16.0	19.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcoides	64.0	22.0	0.0	68.0	52.0	1714.0	573.0	30.0	12.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0.0	0.0	114.0	189.0	346.0	453.0	622.0	137.0	157.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes	0.0	0.0	0.0	26.0	914.0	66.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter	24.0	0.0	0.0	367.0	735.0	375.0	250.0	89.0	92.0
k__Bacteria;p__Proteobacteria;__;__;__;__	0.0	3.0	0.0	792.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea	16.0	0.0	20.0	176.0	335.0	190.0	98.0	79.0	69.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Intestinibacter	0.0	0.0	0.0	13.0	499.0	176.0	26.0	12.0	11.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Frischella	0.0	0.0	0.0	0.0	680.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Monoglobus	55.0	89.0	141.0	549.0	116.0	262.0	515.0	64.0	45.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Fusicatenibacter	15.0	0.0	43.0	45.0	225.0	291.0	32.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	117.0	65.0	0.0	0.0	4.0	13.0	248.0	79.0	72.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia	6.0	11.0	31.0	382.0	111.0	262.0	90.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;__	73.0	0.0	0.0	293.0	28.0	64.0	6.0	58.0	59.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum	0.0	0.0	0.0	169.0	960.0	348.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	10.0	0.0	126.0	13.0	29.0	137.0	213.0	186.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	13.0	0.0	0.0	83.0	311.0	0.0	56.0	4.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Gilliamella	0.0	0.0	0.0	0.0	443.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	4.0	0.0	11.0	48.0	72.0	160.0	117.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;__	35.0	57.0	0.0	1450.0	150.0	264.0	541.0	0.0	15.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;__	52.0	7.0	0.0	357.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospira	0.0	0.0	13.0	138.0	281.0	48.0	64.0	47.0	37.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus	7.0	40.0	88.0	30.0	463.0	219.0	27.0	21.0	8.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter	0.0	0.0	0.0	0.0	213.0	101.0	33.0	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema	4.0	4.0	0.0	155.0	3.0	122.0	302.0	67.0	60.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio	43.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;__;__;__;__	12.0	77.0	7.0	1418.0	647.0	582.0	281.0	6.0	15.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus	0.0	0.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Sporobacter	0.0	16.0	0.0	226.0	0.0	34.0	204.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales;g__Intestinimonas	0.0	0.0	0.0	54.0	28.0	48.0	58.0	25.0	14.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	26.0	29.0	739.0	4.0	40.0	0.0	0.0	13.0	8.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Hungatella	27.0	36.0	20.0	33.0	0.0	63.0	0.0	48.0	48.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Massiliprevotella	13.0	86.0	0.0	9.0	25.0	9.0	35.0	15.0	13.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;__	0.0	0.0	0.0	209.0	0.0	0.0	75.0	6.0	7.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	0.0	0.0	0.0	0.0	0.0	7.0	30.0	134.0	124.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	41.0	73.0	0.0	0.0	0.0	0.0	131.0	15.0	10.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__	0.0	0.0	0.0	298.0	0.0	0.0	15.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	0.0	11.0	0.0	15.0	28.0	27.0	18.0	80.0	85.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	58.0	0.0	0.0	0.0	7.0	3.0	4.0	41.0	48.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus	0.0	8.0	28.0	20.0	124.0	45.0	102.0	49.0	53.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia	0.0	0.0	0.0	26.0	26.0	16.0	31.0	23.0	26.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;__;__	0.0	236.0	0.0	9.0	0.0	16.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;__	0.0	0.0	0.0	135.0	138.0	29.0	20.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Mogibacterium	8.0	0.0	0.0	67.0	16.0	39.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyribacter	0.0	0.0	0.0	0.0	137.0	36.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter	0.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia	0.0	0.0	0.0	95.0	22.0	0.0	25.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Agathobaculum	6.0	16.0	0.0	22.0	0.0	16.0	17.0	26.0	21.0
k__Bacteria;p__Candidatus Melainabacteria;c__Candidatus Melainabacteria;o__Vampirovibrionales;f__Vampirovibrionales;g__Vampirovibrio	0.0	29.0	0.0	61.0	14.0	104.0	6.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;__;__;__;__	24.0	45.0	0.0	146.0	35.0	7.0	19.0	30.0	24.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Oribacterium	11.0	13.0	0.0	0.0	0.0	12.0	114.0	47.0	46.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium	31.0	20.0	45.0	0.0	0.0	17.0	25.0	19.0	36.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;g__Anaerophaga	34.0	99.0	0.0	111.0	23.0	11.0	0.0	4.0	6.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;__	0.0	0.0	0.0	13.0	24.0	0.0	48.0	17.0	9.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor	0.0	0.0	0.0	77.0	22.0	7.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Pseudobutyrivibrio	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0
